latitude,longitude,nome,tipo
40.02687,-7.455346,Soalheira,halt
40.414806,-8.301425,Soito,halt
39.542867,-8.471628,Soudos - Vila Nova,halt
40.055016,-8.639486,Soure,station
40.286239,-8.425646,Souselas,station
41.197115,-8.502002,Suzão,halt
41.144788,-8.610816,São Bento,station
41.258406,-8.55816,São Frutuoso,station
41.197143,-8.579213,São Gemil,station
38.679488,-9.157616,São João Baptista,station
40.898596,-8.495217,São João Da Madeira,station
38.668091,-8.585637,São João Das Craveiras,halt
40.622208,-8.548047,São João De Loure,halt
40.955494,-8.551163,São João De Ver,halt
38.701059,-9.385468,São João Do Estoril,halt
39.322024,-9.179447,São Mamede,halt
41.190314,-8.613309,São Mamede De Infesta,station
41.169768,-8.467777,São Martinho Do Campo,halt
39.50801,-9.133175,São Martinho Do Porto,station
41.993614,-8.666368,São Pedro Da Torre,station
38.695372,-9.371697,São Pedro Do Estoril,station
41.277958,-8.553594,São Romão,station
40.660465,-7.911906,Sé,halt
39.605246,-9.074473,Sítio,halt
41.509182,-8.482985,Tadim,station
40.601116,-8.524365,Taipa-Requeixo,halt
41.60879,-8.634796,Tamel,station
39.461272,-8.39533,Tancos,halt
40.205922,-8.500278,Taveiro,station
37.120987,-7.655705,Tavira,station
41.554686,-8.38081,Tenões,halt
41.163766,-8.437935,Terronhas,halt
39.716742,-7.681725,Tojeirinha,halt
39.598481,-8.41281,Tomar,station
39.309673,-7.908492,Torre Das Vargens,station
39.092709,-9.254309,Torres Vedras,station
40.238872,-7.512393,Tortosendo,station
39.460434,-8.248027,Tramagal,station
41.161262,-8.418939,Trancoso,halt
41.229059,-8.551747,Travagem,halt
40.594206,-8.51447,Travassô,halt
41.152517,-8.609353,Trindade,station
41.337372,-8.547646,Trofa,halt
41.207356,-7.420125,Tua,station
37.164888,-8.256383,Tunes,station
38.663622,-9.207174,Universidade,station
41.099018,-8.632061,Valadares,halt
39.584446,-9.017629,Valado,station
39.313733,-8.629977,Vale De Figueira,station
40.114742,-7.424235,Vale De Prazeres,station
39.188406,-8.723841,Vale De Santarém,halt
42.024704,-8.639295,Valença,station
41.188246,-8.487274,Valongo,station
40.624202,-8.449918,Valongo - Vouga,halt
41.143133,-7.316042,Vargelas,station
41.190304,-8.661028,Vasco Da Gama,station
38.606238,-8.888619,Venda Do Alcaide,halt
